PB_IDX,LI_IDX,EX_IDX,PB_NUM,PB_QUES,PB_DETAIL,PB_CHOI1,PB_CHOI2,PB_CHOI3,PB_CHOI4,PB_ANS,PB_SOLU,PB_CR,TOPIC_IDX
267,1,3,67,다음 자바 코드를 실행한 결과는?,https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m67.gif,x＝7 y＝0,x＝6 y＝-1,x＝7 y＝-1,Unresolved compilation problem 오류 발생,4,"문제에서 제시된 자바 코드는 컴파일러가 이해할 수 없는 구문을 포함하고 있기 때문에 컴파일 단계에서 오류가 발생합니다.  자바 코드를 실행하기 전에 먼저 컴파일 과정을 거쳐야 하는데,  코드에 오류가 있으면 컴파일이 되지 않고 ""Unresolved compilation problem""과 같은 오류 메시지가 나타납니다.  따라서 코드의 구문 오류를 수정하지 않고 실행하려고 하면 프로그램은 실행되지 않고 컴파일 오류가 발생하는 것입니다.  문제에서 코드 자체가 제시되지 않았지만,  제공된 답변 중 ""Unresolved compilation problem 오류 발생""이라는 선택지가 이러한 상황을 정확하게 나타내고 있습니다.  이는 자바 프로그래밍의 기본적인 컴파일 과정과 오류 처리에 대한 이해를 묻는 문제입니다.  비전공자라도 자바 코드를 실행하려면 먼저 컴파일이 되어야 하고, 컴파일 과정에서 오류가 발생하면 실행되지 않는다는 점을 이해할 수 있을 것입니다.",69,41
268,1,3,68,다음 파이썬으로 구현된 프로그램의 실행 결과로 옳은 것은?,https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m68.gif,"[20, 60]","[60, 20]","[0, 20, 40, 60]","[10, 30, 50, 70]",3,"파이썬 리스트에서 슬라이싱은 `리스트[시작:끝:간격]` 형태로 사용합니다.  `a[:7:2]`는 리스트 `a`의 처음부터 7번째 요소(7은 포함하지 않음)까지 2칸씩 건너뛰면서 요소를 선택하는 것을 의미합니다.  `a` 리스트는 `[0, 10, 20, 30, 40, 50, 60, 70, 80, 90]` 이므로,  처음부터 7번째 요소까지는 `[0, 10, 20, 30, 40, 50, 60]` 입니다. 여기서 2칸씩 건너뛰면서 선택하면 `0`, `20`, `40`, `60` 이 선택됩니다. 따라서 정답은 `[0, 20, 40, 60]` 입니다.  슬라이싱은 파이썬의 강력한 기능으로 리스트나 문자열 등의 시퀀스 자료형에서 특정 부분을 쉽게 추출할 수 있도록 해줍니다.  간격을 지정하지 않으면 기본적으로 1칸씩 건너뜁니다.  시작이나 끝을 생략하면 각각 리스트의 처음 또는 끝까지를 의미합니다.",73,11
269,1,3,69,공통모듈의 재사용 범위에 따른 분류가 아닌 것은?,,컴포넌트 재사용,더미코드 재사용,함수와 객체 재사용,애플리케이션 재사용,2,"이 문제는 공통 모듈의 재사용 범위를 묻고 있습니다.  소프트웨어 개발에서 공통 모듈이란 여러 프로그램에서 반복적으로 사용되는 코드 부분을 말합니다.  재사용성을 높여 개발 시간과 비용을 절감하고, 코드의 일관성을 유지하는 데 중요한 역할을 합니다.  컴포넌트, 함수, 객체, 애플리케이션 등은 모두 재사용 가능한 단위로 볼 수 있습니다.  하지만 '더미코드'는 실제 기능을 수행하지 않고 자리만 차지하는 코드로, 재사용의 목적으로 만들어지는 것이 아닙니다.  더미코드는 테스트나 개발 초기 단계에서 임시적으로 사용될 수 있지만, 다른 프로그램에서 재사용되는 것은 아닙니다. 따라서 공통 모듈의 재사용 범위에 따른 분류에 '더미코드 재사용'은 포함되지 않습니다.  다른 선택지들은 모두 실제로 재사용되는 코드 단위를 나타내고 있기 때문에 정답에서 제외됩니다.",74,6
270,1,3,70,"다음과 같은 프로세스가 차례로 큐에 도착하였을 때, SJF(Shortest Job First) 정책을 사용할 경우 가장 먼저 처리되는 작업은?",https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m70.gif,P1,P2,P3,P4,4,"이 문제는 프로세스 스케줄링 알고리즘 중 하나인 SJF(Shortest Job First) 알고리즘을 이해하고 있는지 묻는 문제입니다. SJF 알고리즘은 가장 짧은 실행 시간을 가진 프로세스부터 먼저 처리하는 방식입니다.  문제에서 주어진 프로세스들의 실행 시간을 보면 P1은 6, P2는 8, P3는 4, P4는 3입니다.  가장 짧은 실행 시간을 가진 프로세스는 P4(3)이므로, SJF 알고리즘을 적용하면 P4가 가장 먼저 처리됩니다.  쉽게 말해, 가장 빨리 끝나는 작업부터 먼저 하는 방식이라고 생각하면 됩니다.  마치 줄이 짧은 계산대부터 이용하는 것과 같은 원리입니다.  따라서 가장 먼저 처리되는 작업은 실행 시간이 3인 프로세스입니다.",86,11
271,1,3,71,"4개의 페이지를 수용할 수 있는 주기억장치가 있으며, 초기에는 모두 비어 있다고 가정한다. 다음의 순서로 페이지 참조가 발생할 때, FIFO 페이지 교체 알고리즘을 사용할 경우 페이지 결함의 발생 횟수는?",https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m71.gif,6회,7회,8회,9회,1,"이 문제는 주기억장치의 페이지 교체 알고리즘 중 FIFO(First-In, First-Out) 알고리즘을 이해하고 적용하는지를 묻는 문제입니다.  주기억장치에 4개의 페이지를 저장할 수 있고, 처음에는 모두 비어 있다고 가정합니다.  페이지 참조 순서대로 (1, 2, 3, 1, 2, 4, 5, 1) 페이지를 참조할 때, FIFO 알고리즘은 가장 먼저 들어온 페이지를 가장 먼저 꺼내는 방식입니다.  하나씩 따라가 보겠습니다.",69,11
272,1,3,72,"TCP 흐름제어기법 중 프레임이 손실되었을 때, 손실된 프레임 1개를 전송하고 수신자의 응답을 기다리는 방식으로 한 번에 프레임 1개만 전송할 수 있는 기법은?",,Slow Start,Sliding Window,Stop and Wait,Congestion Avoidance,3,"이 문제는 TCP 흐름 제어 기법 중에서, 데이터 손실 시 어떻게 재전송하는지 묻고 있습니다.  TCP는 신뢰성 있는 통신을 위해 데이터 전송 시 순서와 정확성을 보장하는데, 만약 데이터(프레임)가 손실되면 이를 감지하고 재전송하는 과정이 필요합니다.  정답으로 제시된 기법은 한 번에 하나의 프레임만 보내고, 그 프레임이 제대로 도착했는지 확인하는 응답을 받은 후에야 다음 프레임을 전송하는 방식입니다.  마치 편지를 부치고 답장이 올 때까지 다음 편지를 부치지 않는 것과 같습니다.  다른 기법들은 여러 개의 프레임을 동시에 보내거나, 손실된 프레임을 감지하고 재전송하는 방식이 더 복잡하고 효율적이지만, 문제에서 요구하는 ""한 번에 프레임 1개만 전송""이라는 조건을 만족하는 것은 이 기법 뿐입니다.  따라서,  손실된 프레임 하나를 보내고 응답을 기다리는 단순하고 직관적인 방식을 사용하는 기법이 정답입니다.  이는 TCP의 기본적인 흐름 제어 방식을 이해하는지를 묻는 문제입니다.",86,45
273,1,3,73,결합도(Coupling)에 대한 설명으로 틀린 것은?,,"데이터 결합도(Data Coupling)는 두 모듈이 매개변수로 자료를 전달할 때, 자료구조 형태로 전달되어 이용될 때 데이터가 결합되어 있다고 한다.",내용 결합도(Content Coupling)는 하나의 모듈이 직접적으로 다른 모듈의 내용을 참조할 때 두 모듈은 내용적으로 결합되어 있다고 한다.,공통 결합도(Common Coupling)는 두 모듈이 동일한 전역 데이터를 접근한다면 공통결합 되어 있다고 한다.,"결합도(Coupling)는 두 모듈간의 상호작용, 또는 의존도 정도를 나타내는 것이다.",1,"이 문제는 소프트웨어 모듈 간의 결합도(Coupling)에 대한 이해도를 묻는 문제입니다.  결합도는 모듈 간의 의존성 정도를 나타내는 중요한 개념으로, 결합도가 높으면 모듈 간의 상호 의존성이 높아져 유지보수 및 변경이 어려워집니다.  반대로 결합도가 낮으면 모듈 간의 독립성이 높아져 유지보수 및 변경이 용이해집니다.  문제에서 틀린 설명을 찾아야 하는데,  잘못된 설명은 모듈 간의 데이터 전달 방식에 대한 설명입니다.  데이터를 자료구조 형태로 전달하는 것은 데이터 결합도가 높은 것이 아니라, 오히려 데이터 결합도를 낮추는 방법 중 하나입니다.  자료구조를 통해 데이터를 캡슐화하고, 모듈 간에 필요한 데이터만 전달함으로써 모듈 간의 의존성을 줄일 수 있기 때문입니다. 다른 선지는 모두 모듈 간의 결합도를 정확하게 설명하고 있습니다.  따라서 자료구조 형태로 데이터를 전달하는 것이 데이터 결합도가 높다고 설명하는 것은 잘못된 것입니다.  결합도를 낮추기 위해서는 데이터를 최소한으로 전달하고, 자료구조를 활용하여 데이터를 캡슐화하는 것이 중요합니다.",56,6
274,1,3,74,"응집도의 종류 중 서로 간에 어떠한 의미 있는 연관관계도 지니지 않은 기능 요소로 구성되는 경우이며, 서로 다른 상위 모듈에 의해 호출되어 처리상의 연관성이 없는 서로 다른 기능을 수행하는 경우의 응집도는?",,Functional Cohesion,Sequential Cohesion,Logical Cohesion,Coincidental Cohesion,4,"이 문제는 소프트웨어 모듈의 응집도(Cohesion) 중 가장 낮은 수준의 응집도를 묻고 있습니다.  응집도란 모듈 내부 요소들의 관련성을 나타내는 척도로, 응집도가 높을수록 모듈은 하나의 목적에 집중하여 기능을 수행하고 유지보수가 용이해집니다. 반대로 응집도가 낮으면 모듈 내부 요소들이 서로 관련이 없어 이해하기 어렵고, 변경 시 예상치 못한 오류가 발생할 가능성이 높아집니다.",64,6
275,1,3,75,자바에서 사용하는 접근제어자의 종류가 아닌 것은?,,internal,private,default,public,1,"자바에서 접근 제어자는 클래스나 클래스 멤버(변수, 메서드)에 대한 접근 권한을 제어하는 역할을 합니다.  `public`, `private`, `default`는 자바에서 실제로 사용하는 접근 제어자입니다.  `public`은 모든 곳에서 접근 가능하고, `private`는 같은 클래스 내부에서만 접근 가능하며, `default` (접근 제어자가 명시적으로 지정되지 않은 경우)는 같은 패키지 내에서만 접근 가능합니다.  하지만 `internal`은 자바의 접근 제어자로 존재하지 않습니다.  `internal`은 C#과 같은 다른 프로그래밍 언어에서 사용되는 접근 제어자로, 같은 어셈블리 내에서만 접근을 허용하는 역할을 합니다. 따라서 자바에서 사용하는 접근 제어자의 종류가 아닌 것은 `internal`입니다.  쉽게 말해, 자바는 자기 집(패키지) 안, 또는 모든 곳(public) 또는 자기 자신만(private) 접근을 허용하는 방식으로 접근 제어를 하지만,  `internal`은 자바의 접근 제어 방식과는 다릅니다.",74,7
276,1,3,76,UDP 특성에 해당되는 것은?,,"데이터 전송 후, ACK를 받는다.",송신 중에 링크를 유지 관리하므로 신뢰성이 높다.,흐름제어나 순서제어가 없어 전송속도가 빠르다.,제어를 위한 오버헤드가 크다.,3,"UDP(User Datagram Protocol)는 TCP와 달리 연결을 설정하지 않고 데이터를 패킷 단위로 전송하는 비연결형 프로토콜입니다.  TCP는 데이터 전송 전에 송수신 측 간의 연결을 확립하고, 데이터 전송 후에 정상적으로 도착했는지 확인하는 ACK(Acknowledgement)를 주고받는 신뢰성 있는 프로토콜입니다.  반면 UDP는 ACK를 사용하지 않고, 흐름 제어나 순서 제어도 하지 않습니다.  따라서 TCP보다 오버헤드가 적고 전송 속도가 빠르다는 장점이 있습니다.  하지만 데이터 전달의 신뢰성은 떨어집니다.  문제에서 제시된 정답은 UDP의 이러한 특성, 즉 흐름 제어나 순서 제어가 없어 전송 속도가 빠르다는 점을 정확하게 나타내고 있습니다.  데이터 전송의 신뢰성을 보장하지 않기 때문에 ACK를 받지 않고, 연결을 유지 관리하지 않아 신뢰성이 높다고 할 수 없습니다.  오버헤드는 TCP에 비해 작습니다. 따라서 UDP의 특성을 가장 잘 나타내는 것은 전송 속도가 빠르다는 것입니다.",74,45
277,1,3,77,"다음과 같은 세그먼트 테이블을 가지는 시스템에서 논리 주소(2, 176)에 대한 물리 주소는?",https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m77.gif,398,400,1928,1930,1,"이 문제는 논리 주소를 물리 주소로 변환하는 과정을 묻고 있습니다.  세그먼트 테이블을 보면 각 세그먼트의 시작 주소와 길이가 나와 있습니다. 문제에서 주어진 논리 주소는 (세그먼트 번호, 논리 주소 내의 오프셋) 형태인 (2, 176)입니다.  이는 2번 세그먼트의 176번째 바이트를 의미합니다.",71,29
278,1,3,78,TCP/IP에서 사용되는 논리주소를 물리주소로 변환시켜 주는 프로토콜은?,,TCP,ARP,FTP,IP,2,"이 문제는 네트워크 통신에서 논리 주소와 물리 주소의 변환 과정을 묻고 있습니다.  컴퓨터는 서로 통신할 때 두 가지 종류의 주소를 사용합니다.  우리가 일반적으로 알고 있는 IP 주소(예: 192.168.1.1)는 논리 주소입니다.  이는 사람이 이해하기 쉽도록 만들어진 주소로, 네트워크 상에서 컴퓨터를 식별하는 데 사용됩니다.  반면에 물리 주소(MAC 주소)는 네트워크 인터페이스 카드(NIC)에 고유하게 할당된 실제 하드웨어 주소입니다.  컴퓨터가 데이터를 보낼 때, 목적지 컴퓨터의 IP 주소를 알고 있더라도, 실제로 데이터를 전송하려면 목적지 컴퓨터의 물리 주소인 MAC 주소가 필요합니다.  이때, IP 주소를 MAC 주소로 변환해주는 역할을 하는 프로토콜이 바로 ARP(Address Resolution Protocol)입니다.  쉽게 말해, ARP는 IP 주소를 가지고 네트워크 상에서 해당 IP 주소를 가진 컴퓨터의 MAC 주소를 찾아주는 '주소록'과 같은 역할을 합니다.  따라서, TCP/IP 환경에서 논리 주소(IP 주소)를 물리 주소(MAC 주소)로 변환하는 프로토콜은 ARP입니다.  TCP, FTP, IP는 모두 네트워크 통신에 사용되는 프로토콜이지만, 주소 변환 기능은 제공하지 않습니다.",76,45
279,1,3,79,C언어에서 구조체를 사용하여 데이터를 처리할 때 사용하는 것은?,,for,scanf,struct,abstract,3,"C언어에서 여러 개의 데이터를 묶어서 하나의 단위로 관리하고 싶을 때 사용하는 것이 바로 구조체(struct)입니다.  예를 들어, 학생의 이름, 학번, 성적 등 여러 가지 정보를 저장해야 한다고 가정해 봅시다.  각 정보를 따로따로 변수로 선언하면 관리가 어렵고 코드도 복잡해집니다.  하지만 구조체를 사용하면 이러한 여러 데이터들을 하나의 틀(구조체)에 담아서 관리할 수 있습니다.  마치 서류철에 여러 장의 서류를 넣어서 보관하는 것과 같습니다.  따라서 학생의 정보를 효율적으로 관리하기 위해서는 구조체를 사용하는 것이 가장 적절합니다.  다른 선택지들은 데이터를 묶어서 관리하는 데 직접적으로 사용되지 않습니다.  `for`문은 반복문이고, `scanf`는 입력 함수이며, `abstract`는 추상적인 개념입니다.  구조체는 C언어에서 데이터를 효율적으로 관리하기 위한 중요한 도구입니다.",83,11
280,1,3,80,PHP에서 사용 가능한 연산자가 아닌 것은?,,@,#,＜＞,===,2,"PHP는 웹 서버 측에서 동작하는 스크립트 언어입니다.  문제에서 제시된 연산자들은 PHP에서 데이터를 처리하거나 비교하는 데 사용되는 기호들입니다.  `@`는 오류 억제 연산자로,  명령어 실행 시 발생할 수 있는 오류 메시지를 무시하는 역할을 합니다. `< >`는 크기 비교 연산자로, 왼쪽 피연산자가 오른쪽 피연산자보다 작은지 큰지 비교합니다. `===`는 일치 연산자로, 값과 자료형까지 완전히 일치하는지 비교합니다.  하지만 `#` 기호는 PHP에서 연산자로 사용되지 않습니다.  `#` 기호는 PHP에서 주석을 나타내는 데 사용됩니다.  즉, `#` 뒤에 오는 내용은 PHP 인터프리터에 의해 무시됩니다. 따라서 PHP에서 연산자로 사용할 수 없는 것은 `#`입니다.  다른 선택지들은 모두 PHP에서 유효한 연산자입니다.",58,41
281,1,3,81,이용자가 인터넷과 같은 공중망에 사설망을 구축하여 마치 전용망을 사용하는 효과를 가지는 보안 솔루션은?,,ZIGBEE,KDD,IDS,VPN,4,"이 문제는 공중망(인터넷)을 통해 사설망과 같은 보안성을 확보하는 기술을 묻고 있습니다.  VPN(Virtual Private Network, 가상 사설망)은 공중망을 통해 두 지점 또는 여러 지점을 안전하게 연결하는 기술입니다.  마치 전용선을 사용하는 것처럼 데이터를 암호화하여 전송하기 때문에, 인터넷과 같은 공용 네트워크를 사용하더라도 개인 정보나 기업의 중요한 데이터를 안전하게 보호할 수 있습니다.  다른 선택지들은 네트워크 보안과 직접적인 관련이 없거나, VPN처럼 공중망을 통해 사설망 효과를 제공하는 기술이 아닙니다.  예를 들어, ZIGBEE는 근거리 무선 통신 기술이고, KDD는 데이터 마이닝 기법, IDS는 침입 탐지 시스템으로, 각각 다른 목적으로 사용됩니다. 따라서 공중망을 통해 사설망과 같은 효과를 제공하는 보안 솔루션은 VPN이 가장 적합합니다.",84,56
282,1,3,82,CMM(Capability Maturity Model) 모델의 레벨로 옳지 않은 것은?,,최적단계,관리단계,계획단계,정의단계,3,"CMM(Capability Maturity Model)은 소프트웨어 개발 조직의 성숙도를 5단계로 평가하는 모델입니다.  각 단계는 소프트웨어 개발 프로세스의 안정성과 예측 가능성을 나타내는 지표로,  낮은 단계일수록 프로세스가 불안정하고 예측이 어렵고, 높은 단계일수록 프로세스가 안정적이고 예측 가능합니다.  CMM의 5단계는 초기, 관리, 정의, 관리, 최적화 단계로 구성됩니다. 문제에서 제시된 선지 중 하나는 실제 CMM 모델의 단계에 해당하지 않습니다.  CMM 모델은 소프트웨어 개발 프로세스의 성숙도를 체계적으로 평가하고 개선하기 위한 프레임워크로, 각 단계는 명확하게 정의된 특징과 목표를 가지고 있습니다. 따라서 제시된 선지 중 CMM 모델의 레벨로 옳지 않은 것은  CMM 모델의 5단계에 포함되지 않은 단계입니다.  이는 소프트웨어 개발 프로세스의 성숙도를 이해하고,  개선 방향을 설정하는 데 중요한 개념입니다.  따라서 정답은 CMM 모델의 단계에 포함되지 않는 선지를 선택해야 합니다.",54,47
283,1,3,83,다음 설명에 해당하는 생명주기 모형으로 가장 옳은 것은?,https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m83.gif,패키지 모형,코코모 모형,폭포수 모형,관계형 모델,3,"문제에서 설명하는 생명주기 모형은 가장 오래된 형태이며, 각 단계가 순차적으로 진행되고 이전 단계가 완료되어야만 다음 단계로 넘어갈 수 있다는 특징을 가지고 있습니다.  이는 마치 폭포가 위에서 아래로 떨어지는 것과 같아서, 한 단계씩 차례대로 진행되는 모습을 보여줍니다. 요구사항 변경이 어렵다는 점 또한 폭포수 모형의 단점으로 잘 알려져 있습니다.  처음 설계 단계에서 모든 요구사항을 명확히 정의해야 하며,  단계 간의 피드백이 제한적이기 때문에 중간에 요구사항 변경이 발생하면 전체 프로젝트에 큰 영향을 미칠 수 있습니다.  반면에 다른 선택지들은 이러한 순차적인 특징을 명확하게 보여주지 않거나,  소프트웨어 개발 생명주기 모델과 직접적인 관련이 없습니다. 따라서 문제의 설명에 가장 적합한 생명주기 모형은 폭포수 모형입니다.  폭포수 모형은 전통적인 소프트웨어 개발 방식으로,  단계별 산출물 검토를 통해 오류를 조기에 발견하고 수정하는 데 초점을 맞추는 방식입니다.",90,47
284,1,3,84,서비스 지향 아키텍처 기반 애플리케이션을 구성하는 층이 아닌 것은?,,표현층,프로세스층,제어 클래스층,비즈니스층,3,"서비스 지향 아키텍처(SOA)는 여러 개의 독립적인 서비스들을 조합하여 애플리케이션을 구성하는 아키텍처 스타일입니다.  마치 레고 블록처럼 각각의 기능을 담당하는 서비스들을 연결하여 복잡한 애플리케이션을 만들 수 있죠.  일반적으로 SOA 기반 애플리케이션은 크게 세 가지 층으로 구성됩니다.  먼저 사용자 인터페이스를 담당하는 **표현층**이 있습니다.  여기서는 사용자가 애플리케이션과 상호작용하는 부분, 즉 화면이나 웹페이지 등을 통해 데이터를 입력하고 결과를 확인하는 역할을 합니다.  다음으로 **비즈니스층**은 애플리케이션의 핵심적인 비즈니스 로직을 처리하는 부분입니다.  실제 데이터 처리, 계산, 비즈니스 규칙 적용 등의 작업이 이 층에서 이루어집니다.  마지막으로 **프로세스층**은 비즈니스 로직을 실행하기 위한 다양한 서비스들을 조정하고 관리하는 역할을 합니다.  서비스 간의 통신, 트랜잭션 관리, 오류 처리 등을 담당하여 비즈니스층이 원활하게 동작하도록 지원합니다.  문제에서 제시된 잘못된 층인 ""제어 클래스층""은 SOA의 표준적인 층 구조에는 포함되지 않습니다.  SOA는 서비스의 재사용성과 유연성을 높이기 위해 각 층이 명확하게 분리되어 있고,  ""제어 클래스층""과 같은 개념은 각 층 내부의 구현 방식에 따라 다르게 나타날 수 있기 때문에 SOA의 일반적인 층으로 보기 어렵습니다. 따라서 SOA 기반 애플리케이션을 구성하는 층이 아닌 것은 ""제어 클래스층""입니다.",48,6
285,1,3,85,다음 내용이 설명하는 스토리지 시스템은?,https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m85.gif,DAS,NAS,N-SCREEN,NFC,1,"문제에서 설명하는 스토리지 시스템은 하드디스크와 같은 저장장치가 호스트 버스 어댑터(HBA)에 직접 연결되는 방식입니다.  네트워크 장비를 거치지 않고 직접 연결되는 것이 핵심입니다.  이러한 특징은 직접 연결 스토리지(Direct Attached Storage, DAS)의 정의와 정확히 일치합니다.  NAS(Network Attached Storage)는 네트워크를 통해 접근하는 저장장치이고, N-SCREEN과 NFC는 저장장치와는 전혀 관련이 없는 기술입니다. 따라서 문제의 설명에 가장 부합하는 것은 DAS입니다.  쉽게 생각하면, 컴퓨터 본체에 직접 연결된 하드디스크가 바로 DAS라고 이해하시면 됩니다.  네트워크를 거치지 않고, 바로 연결되어 속도가 빠르다는 장점이 있지만, 확장성이 떨어지는 단점도 가지고 있습니다.",75,51
286,1,3,86,소프트웨어 개발 프레임워크의 적용 효과로 볼 수 없는 것은?,,공통 컴포넌트 재사용으로 중복 예산 절감,기술종속으로 인한 선행사업자 의존도 증대,표준화된 연계모듈 활용으로 상호 운용성 향상,개발표준에 의한 모듈화로 유지보수 용이,2,"소프트웨어 개발 프레임워크는 마치 레고 블록과 같습니다.  미리 만들어진 블록(컴포넌트)들을 조립하여 소프트웨어를 개발하는 방식이죠.  이렇게 하면 중복되는 작업을 줄이고, 개발 시간과 비용을 절감할 수 있습니다. 또한, 표준화된 블록을 사용하기 때문에 서로 다른 부분들이 잘 맞물려 돌아가는 상호 운용성이 높아지고,  만들어진 소프트웨어를 유지보수하기도 쉬워집니다.  하지만, 특정 프레임워크에 의존하게 되면 그 프레임워크를 제공하는 업체에 종속될 위험이 있습니다.  마치 특정 레고 블록만 사용해야 하는 상황과 같아서, 다른 블록을 사용할 수 없게 되는 것이죠.  따라서 프레임워크를 사용하면 여러 가지 장점이 있지만, 특정 기술에 종속되어 다른 업체에 의존하게 되는 단점도 발생할 수 있습니다. 문제에서 묻고 있는 것은 프레임워크 적용의 *단점*이므로, 특정 기술에 종속되어 선행 사업자에 대한 의존도가 높아지는 것이 정답입니다.",86,48
287,1,3,87,SoftTech사에서 개발된 것으로 구조적 요구 분석을 하기 위해 블록 다이어그램을 채택한 자동화 도구는?,,SREM,PSL/PSA,HIPO,SADT,4,"이 문제는 구조적 요구 분석을 위한 자동화 도구 중 SoftTech사에서 개발된 것을 묻고 있습니다.  소프트웨어 개발 과정에서 요구사항 분석은 매우 중요한 단계인데요,  복잡한 시스템의 요구사항을 효율적으로 파악하고 문서화하기 위해 다양한 기법과 도구들이 사용됩니다.  그 중에서도 구조적 분석 기법은 시스템을 계층적으로 분해하여 이해하기 쉽게 표현하는 방법입니다.  여러 구조적 분석 기법 중 블록 다이어그램을 사용하는 대표적인 자동화 도구가 바로 SADT(Structured Analysis and Design Technique)입니다. SADT는 시스템을 여러 개의 블록으로 나누고, 각 블록의 기능과 상호 관계를 명확하게 보여주는 블록 다이어그램을 사용하여 시스템의 구조를 시각적으로 표현합니다.  따라서 SoftTech사에서 개발된 구조적 요구 분석을 위한 자동화 도구로 블록 다이어그램을 채택한 것은 SADT가 가장 적합합니다. 다른 선택지들은 각각 다른 분석 기법이나 도구를 나타내므로 정답이 될 수 없습니다.  쉽게 말해,  레고 블록을 조립하듯이 시스템을 블록 단위로 나누어 분석하는 도구가 SADT인 것이죠.",55,3
288,1,3,88,익스트림 프로그래밍 (eXtreme Programming)의 5가지 가치에 속하지 않는 것은?,,의사소통,단순성,피드백,고객 배제,4,"익스트림 프로그래밍(XP)은 소프트웨어 개발 방법론 중 하나로, 고객과의 긴밀한 협력과 지속적인 피드백을 통해 빠르고 유연하게 소프트웨어를 개발하는 것을 목표로 합니다.  XP의 핵심 가치는 '의사소통', '단순성', '피드백', '용기', '존중'입니다.  문제에서 제시된 보기 중 '고객 배제'는 XP의 철학과 정반대되는 개념입니다. XP는 고객의 참여를 매우 중요하게 생각하며, 고객과의 지속적인 소통을 통해 요구사항을 명확히 하고, 개발 과정에서 발생하는 문제를 신속하게 해결하는 것을 강조합니다. 고객이 배제된다면, 개발 과정에서 발생하는 오류나 요구사항의 불일치를 빠르게 파악하고 수정할 수 없어 개발의 효율성이 떨어지고, 최종 결과물에 대한 고객 만족도 또한 낮아질 수밖에 없습니다. 따라서 XP의 5가지 가치에 '고객 배제'는 포함되지 않습니다.",90,2
289,1,3,89,다음은 정보의 접근통제 정책에 대한 설명이다. (ㄱ)에 들어갈 내용으로 옳은 것은?,https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m89.gif,NAC,MAC,SDAC,AAC,2,"이 문제는 정보의 접근 통제 정책 중 하나인 MAC(Mandatory Access Control, 강제 접근 제어)에 대한 이해를 묻고 있습니다.  표에서 (ㄱ)에 해당하는 내용은 권한 부여를 시스템이 담당하고, 접근 결정은 보안 등급(Label)에 따라 이루어지며, 정책 변경이 고정적이라는 특징을 보입니다.  이는 바로 MAC의 특징과 일치합니다.  MAC은 시스템 관리자가 미리 정의한 보안 등급에 따라 접근 권한을 부여하고, 사용자의 신분이나 데이터 소유권과는 무관하게 보안 등급에 따라 접근을 허용 또는 거부합니다.  따라서 데이터 소유자가 접근 권한을 결정하는 DAC(Discretionary Access Control, 임의 접근 제어)나 역할에 따라 접근 권한을 부여하는 RBAC(Role-Based Access Control, 역할 기반 접근 제어)와는 다릅니다.  MAC은 중앙 집중적인 관리로 인해 안정적이지만, 정책 변경이 어렵다는 단점도 가지고 있습니다.  표에 제시된 내용은 이러한 MAC의 특징을 명확하게 보여주고 있으므로, 정답은 MAC입니다.  NAC, SDAC, AAC는 접근 제어 방식과 관련된 용어이지만, 표의 내용과는 일치하지 않습니다.",69,55
290,1,3,90,소프트웨어 개발 모델 중 나선형 모델의 4가지 주요 활동이 순서대로 나열된 것은?,https://www.cbtbank.kr/images/iz/iz20200926/iz20200926m90.gif,?-?-?-?순으로 반복,?-?-?-?순으로 반복,?-?-?-?순으로 반복,?-?-?-?순으로 반복,2,"나선형 모델은 소프트웨어 개발의 위험을 줄이고, 고객의 요구사항 변화에 유연하게 대처하기 위해 고안된 모델입니다.  반복적인 개발 과정을 통해 점진적으로 소프트웨어를 완성해 나가는 것이 특징인데요,  각 반복 주기마다 계획 수립, 위험 분석, 개발 및 검증, 고객 평가의 네 가지 주요 활동을 수행합니다.  먼저,  **계획 수립** 단계에서는 개발 목표, 범위, 일정, 예산 등을 정의합니다. 다음으로 **위험 분석** 단계에서는 개발 과정에서 발생할 수 있는 위험 요소들을 파악하고, 그에 대한 대응 방안을 마련합니다.  이후 **개발 및 검증** 단계에서는 실제 소프트웨어를 개발하고, 테스트를 통해 문제점을 찾아 수정합니다. 마지막으로 **고객 평가** 단계에서는 개발된 소프트웨어를 고객에게 보여주고 피드백을 받아 다음 반복 주기의 계획에 반영합니다.  이러한 네 가지 활동은 순차적으로 진행되며,  각 주기가 끝날 때마다 고객의 요구사항 변화나 발견된 위험에 따라 계획을 수정하고 다음 주기를 시작하게 됩니다. 따라서 정답은 계획 수립, 위험 분석, 개발 및 검증, 고객 평가 순서로 반복되는 것입니다.  이 순서는 소프트웨어 개발의 불확실성을 줄이고, 고객 만족도를 높이는 데 효과적입니다.",82,47
